Year,Country,GDP 
1960,China,59716467625
1961,China,50056868958
1962,China,47209359006
1963,China,50706799903
1964,China,59708343489
1965,China,70436266147
1966,China,76720285970
1967,China,72881631327
1968,China,70846535056
1969,China,79705906247
1970,China,92602973434
1971,China,99800958648
1972,China,1.13688E+11
1973,China,1.38544E+11
1974,China,1.44182E+11
1975,China,1.63432E+11
1976,China,1.5394E+11
1977,China,1.74938E+11
1978,China,1.49541E+11
1979,China,1.78281E+11
1980,China,1.91149E+11
1981,China,1.95866E+11
1982,China,2.0509E+11
1983,China,2.30687E+11
1984,China,2.59947E+11
1985,China,3.09488E+11
1986,China,3.00758E+11
1987,China,2.72973E+11
1988,China,3.12354E+11
1989,China,3.47768E+11
1990,China,3.60858E+11
1991,China,3.83373E+11
1992,China,4.26916E+11
1993,China,4.44731E+11
1994,China,5.64325E+11
1995,China,7.34548E+11
1996,China,8.63747E+11
1997,China,9.61604E+11
1998,China,1.02904E+12
1999,China,1.094E+12
2000,China,1.21135E+12
2001,China,1.3394E+12
2002,China,1.47055E+12
2003,China,1.66029E+12
2004,China,1.95535E+12
2005,China,2.28597E+12
2006,China,2.75213E+12
2007,China,3.55034E+12
2008,China,4.59431E+12
2009,China,5.1017E+12
2010,China,6.08716E+12
2011,China,7.5515E+12
2012,China,8.53223E+12
2013,China,9.57041E+12
2014,China,1.04757E+13
2015,China,1.10616E+13
2016,China,1.12333E+13
2017,China,1.23104E+13
2018,China,1.38948E+13
2019,China,1.42799E+13
2020,China,1.46877E+13
2021,China,1.77341E+13
1960,USA,5.433E+11
1961,USA,5.633E+11
1962,USA,6.051E+11
1963,USA,6.386E+11
1964,USA,6.858E+11
1965,USA,7.437E+11
1966,USA,8.15E+11
1967,USA,8.617E+11
1968,USA,9.425E+11
1969,USA,1.0199E+12
1970,USA,1.0733E+12
1971,USA,1.16485E+12
1972,USA,1.27911E+12
1973,USA,1.42538E+12
1974,USA,1.54524E+12
1975,USA,1.6849E+12
1976,USA,1.87341E+12
1977,USA,2.08183E+12
1978,USA,2.3516E+12
1979,USA,2.62733E+12
1980,USA,2.85731E+12
1981,USA,3.20704E+12
1982,USA,3.34379E+12
1983,USA,3.63404E+12
1984,USA,4.03761E+12
1985,USA,4.33898E+12
1986,USA,4.57963E+12
1987,USA,4.85522E+12
1988,USA,5.23644E+12
1989,USA,5.64158E+12
1990,USA,5.96314E+12
1991,USA,6.15813E+12
1992,USA,6.52033E+12
1993,USA,6.85856E+12
1994,USA,7.28724E+12
1995,USA,7.63975E+12
1996,USA,8.07312E+12
1997,USA,8.57755E+12
1998,USA,9.06282E+12
1999,USA,9.63117E+12
2000,USA,1.02509E+13
2001,USA,1.05819E+13
2002,USA,1.09291E+13
2003,USA,1.14564E+13
2004,USA,1.22172E+13
2005,USA,1.30392E+13
2006,USA,1.38156E+13
2007,USA,1.44742E+13
2008,USA,1.47699E+13
2009,USA,1.44781E+13
2010,USA,1.5049E+13
2011,USA,1.55997E+13
2012,USA,1.6254E+13
2013,USA,1.68432E+13
2014,USA,1.75507E+13
2015,USA,1.8206E+13
2016,USA,1.86951E+13
2017,USA,1.94773E+13
2018,USA,2.05331E+13
2019,USA,2.1381E+13
2020,USA,2.10605E+13
2021,USA,2.33151E+13
