Code,Borough,Population Density
E09000002,Barking and Dagenham,6064
E09000003,Barnet,4489
E09000004,Bexley,4070
E09000005,Brent,7860
E09000006,Bromley,2198
E09000007,Camden,9641
E09000001,City of London,2962
E09000008,Croydon,4516
E09000009,Ealing,6612
E09000010,Enfield,4082
E09000011,Greenwich,6106
E09000012,Hackney,13594
E09000013,Hammersmith and Fulham,11165
E09000014,Haringey,8930
E09000015,Harrow,5176
E09000016,Havering,2332
E09000017,Hillingdon,2644
E09000018,Hounslow,5147
E09000019,Islington,14576
E09000020,Kensington and Chelsea,11820
E09000021,Kingston upon Thames,4512
E09000022,Lambeth,11843
E09000023,Lewisham,8552
E09000024,Merton,5722
E09000025,Newham,9691
E09000026,Redbridge,5500
E09000027,Richmond upon Thames,3401
E09000028,Southwark,10662
E09000029,Sutton,4781
E09000030,Tower Hamlets,15697
E09000031,Waltham Forest,7173
E09000032,Wandsworth,9559
E09000033,Westminster,9509
